date,AAPL,AMZN,CSCO,DIS,GOOG,INTC,ITIC,JPM,KO,META,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,V,VZ,XOM
2023-07-01,0.0,0.05390625,-0.3,0.25,0.125,-0.1625,0.25,0.0,0.06818181818181818,0.07878787878787878,0.21265151515151515,0.0,0.1,0.0,0.10185185185185186,0.08,0.19999999999999998,0.0,0.13636363636363635,0.061111111111111116
2023-07-02,0.6,0.05390625,0.5,0.25,0.125,-0.1625,0.25,0.0,0.06818181818181818,0.07878787878787878,0.21265151515151515,0.0,0.1,0.0,0.10185185185185186,0.08,0.19999999999999998,0.0,0.13636363636363635,0.061111111111111116
2023-07-03,0.10308441558441557,0.05390625,0.2,0.10714285714285714,0.0,-0.1625,0.25,-0.1,0.06818181818181818,0.07878787878787878,0.21265151515151515,0.0,0.07142857142857142,0.0,0.15,0.325,0.0,0.21875,0.13636363636363635,0.05
2023-07-04,0.10308441558441557,0.05390625,0.2,0.10714285714285714,0.0,-0.1625,0.25,-0.1,0.06818181818181818,0.07878787878787878,0.21265151515151515,0.0,0.07142857142857142,0.0,0.15,0.325,0.21428571428571427,0.21875,0.4,0.05
2023-07-05,0.0297979797979798,0.05390625,0.0,0.10714285714285714,0.0,-0.1625,0.25,0.0,0.4,0.13194444444444445,0.21265151515151515,0.0,0.3408459595959596,0.35,0.15,0.325,0.21428571428571427,0.21875,0.4,0.25
2023-07-06,0.0297979797979798,0.21666666666666667,-0.05,0.10714285714285714,0.0,-0.1625,0.25,0.0,0.171875,0.1462973484848485,0.21265151515151515,0.0,0.3181818181818182,0.20208333333333334,0.016666666666666663,0.325,0.21428571428571427,0.21875,0.3111111111111111,0.04375000000000001
2023-07-07,0.7666666666666666,-0.05,0.0625,0.0,-0.1,-0.1625,0.25,0.3333333333333333,0.15202380952380953,0.1462973484848485,0.017045454545454544,0.0,0.3181818181818182,-0.2,0.016666666666666663,0.0,0.08295454545454546,0.21875,0.0,0.04375000000000001
2023-07-08,0.2340909090909091,0.4,0.0625,0.0,-0.1,-0.1625,0.25,0.3333333333333333,0.15202380952380953,0.5,0.017045454545454544,0.0,0.3181818181818182,-0.2,0.016666666666666663,0.0,0.08295454545454546,0.21875,0.0,0.04375000000000001
2023-07-09,0.0,0.4,0.0625,0.0,-0.1,-0.1625,0.25,0.3333333333333333,0.15202380952380953,0.5,0.017045454545454544,0.0,0.3181818181818182,-0.2,0.016666666666666663,0.0,0.08295454545454546,0.21875,0.0,0.04375000000000001
2023-07-10,0.0,0.5,0.16666666666666669,0.0,-0.1,-0.1625,0.25,0.0,0.15202380952380953,0.14999999999999997,0.2,0.0,0.11659090909090909,0.06818181818181818,0.0,0.0,0.375,-0.03333333333333333,0.125,0.04375000000000001
